Month,Year,Date,American Canyon,American Canyon,American Canyon,American Canyon,American Canyon,Benicia,Benicia,Benicia,Benicia,Benicia,Burlingame,Burlingame,Burlingame,Burlingame,Burlingame,CCCSD,CCCSD,CCCSD,CCCSD,CCCSD,CMSA,CMSA,CMSA,CMSA,CMSA,Port Costa,Port Costa,Port Costa,Port Costa,Port Costa,Delta Diablo,Delta Diablo,Delta Diablo,Delta Diablo,Delta Diablo,EBDA,EBDA,EBDA,EBDA,EBDA,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,Fairfield-Suisun,Fairfield-Suisun,Fairfield-Suisun,Fairfield-Suisun,Fairfield-Suisun,Las Gallinas,Las Gallinas,Las Gallinas,Las Gallinas,Las Gallinas,Paradise Cove,Paradise Cove,Paradise Cove,Paradise Cove,Paradise Cove,Tiburon,Tiburon,Tiburon,Tiburon,Tiburon,Millbrae,Millbrae,Millbrae,Millbrae,Millbrae,Mt View,Mt View,Mt View,Mt View,Mt View,Napa,Napa,Napa,Napa,Napa,Novato,Novato,Novato,Novato,Novato,Palo Alto,Palo Alto,Palo Alto,Palo Alto,Palo Alto,Petaluma,Petaluma,Petaluma,Petaluma,Petaluma,Pinole,Pinole,Pinole,Pinole,Pinole,Rodeo,Rodeo,Rodeo,Rodeo,Rodeo,SFO Airport,SFO Airport,SFO Airport,SFO Airport,SFO Airport,SFPUC Southeast Plant,SFPUC Southeast Plant,SFPUC Southeast Plant,SFPUC Southeast Plant,SFPUC Southeast Plant,San Jose,San Jose,San Jose,San Jose,San Jose,San Mateo,San Mateo,San Mateo,San Mateo,San Mateo,SMCSD,SMCSD,SMCSD,SMCSD,SMCSD,SASM,SASM,SASM,SASM,SASM,SVCW,SVCW,SVCW,SVCW,SVCW,Sonoma Valley,Sonoma Valley,Sonoma Valley,Sonoma Valley,Sonoma Valley,South SF,South SF,South SF,South SF,South SF,Sunnyvale,Sunnyvale,Sunnyvale,Sunnyvale,Sunnyvale,Treasure Island,Treasure Island,Treasure Island,Treasure Island,Treasure Island,Vallejo,Vallejo,Vallejo,Vallejo,Vallejo,West County,West County,West County,West County,West County
,,,Flow mgd,Ammonia kg N/d,NOX kg N/d,TIN kg N/d,TP kg P/d,Flow mgd,Ammonia kg N/d,NOX kg N/d,TIN kg N/d,TP kg P/d,Flow mgd,Ammonia kg N/d,NOX kg N/d,TIN kg N/d,TP kg P/d,Flow mgd,Ammonia kg N/d,NOX kg N/d,TIN kg N/d,TP kg P/d,Flow mgd,Ammonia kg N/d,NOX kg N/d,TIN kg N/d,TP kg P/d,Flow mgd,Ammonia kg N/d,NOX kg N/d,TIN kg N/d,TP kg P/d,Flow mgd,Ammonia kg N/d,NOX kg N/d,TIN kg N/d,TP kg P/d,Flow mgd,Ammonia kg N/d,NOX kg N/d,TIN kg N/d,TP kg P/d,Flow mgd,Ammonia kg N/d,NOX kg N/d,TIN kg N/d,TP kg P/d,Flow mgd,Ammonia kg N/d,NOX kg N/d,TIN kg N/d,TP kg P/d,Flow mgd,Ammonia kg N/d,NOX kg N/d,TIN kg N/d,TP kg P/d,Flow mgd,Ammonia kg N/d,NOX kg N/d,TIN kg N/d,TP kg P/d,Flow mgd,Ammonia kg N/d,NOX kg N/d,TIN kg N/d,TP kg P/d,Flow mgd,Ammonia kg N/d,NOX kg N/d,TIN kg N/d,TP kg P/d,Flow mgd,Ammonia kg N/d,NOX kg N/d,TIN kg N/d,TP kg P/d,Flow mgd,Ammonia kg N/d,NOX kg N/d,TIN kg N/d,TP kg P/d,Flow mgd,Ammonia kg N/d,NOX kg N/d,TIN kg N/d,TP kg P/d,Flow mgd,Ammonia kg N/d,NOX kg N/d,TIN kg N/d,TP kg P/d,Flow mgd,Ammonia kg N/d,NOX kg N/d,TIN kg N/d,TP kg P/d,Flow mgd,Ammonia kg N/d,NOX kg N/d,TIN kg N/d,TP kg P/d,Flow mgd,Ammonia kg N/d,NOX kg N/d,TIN kg N/d,TP kg P/d,Flow mgd,Ammonia kg N/d,NOX kg N/d,TIN kg N/d,TP kg P/d,Flow mgd,Ammonia kg N/d,NOX kg N/d,TIN kg N/d,TP kg P/d,Flow mgd,Ammonia kg N/d,NOX kg N/d,TIN kg N/d,TP kg P/d,Flow mgd,Ammonia kg N/d,NOX kg N/d,TIN kg N/d,TP kg P/d,Flow mgd,Ammonia kg N/d,NOX kg N/d,TIN kg N/d,TP kg P/d,Flow mgd,Ammonia kg N/d,NOX kg N/d,TIN kg N/d,TP kg P/d,Flow mgd,Ammonia kg N/d,NOX kg N/d,TIN kg N/d,TP kg P/d,Flow mgd,Ammonia kg N/d,NOX kg N/d,TIN kg N/d,TP kg P/d,Flow mgd,Ammonia kg N/d,NOX kg N/d,TIN kg N/d,TP kg P/d,Flow mgd,Ammonia kg N/d,NOX kg N/d,TIN kg N/d,TP kg P/d,Flow mgd,Ammonia kg N/d,NOX kg N/d,TIN kg N/d,TP kg P/d,Flow mgd,Ammonia kg N/d,NOX kg N/d,TIN kg N/d,TP kg P/d,Flow mgd,Ammonia kg N/d,NOX kg N/d,TIN kg N/d,TP kg P/d
10,2012,10/1/2012,,,,,,2.05,255.717,7.1291,262.8461,32.5458,2.66,185.8,53.5,239.3,54.7,33.085,3301,289.5,3590.5,102,7.85,1216.593,87.524,1304.117,118.2006,0.0064,,,,,6.6,617.652,1198.7174,1816.3694,24.948,54.5,6164.424,568.134,6732.558,461.538,50.5,8121.33,755.811,8877.141,752.031,13.529,1.2597,1572.0667,1573.3264,202.7104,0,0,0,0,0,0.0144,0.0071,2.1779,2.185,0.3266,0.61,64.5624,0.2836,64.846,8.762,1.48,184.6152,1.3986,186.0138,14.5454,1.232,0.461,93.2044,93.6654,18.1621,0,0,0,0,0,4.436,,,,,22.09,8.3619,2298,2306.3619,388.8401,0,0,0,0,0,2.85,226.233,53.9727,280.2057,35.5509,0.58,6.1387,23.0202,29.1589,10.7428,0.9,98.9982,17.3162,116.3144,2.0072,48.2,4673.7621,832.3802,5506.1423,118.2271,91.9,156.53,3603.68,3760.21,123.51,9.3672,1133.9413,125.6762,1259.6174,120.5643,1.4,79.38,77.7924,157.1724,28.0476,1.897,25.8144,110.9301,136.7445,39.4386,13.075,1927.3275,30.1521,1957.4796,170.56,0,0,0,0,0,8.875,1013.0022,164.4319,1177.4341,134.19,12.6,714.1819,794.9255,1509.1074,343.3809,0.299,0.7572,10.0601,10.8173,1.944,10.095,374.2631,205.9588,580.2219,123.4529,8.85,681.8175,165.7733,847.5908,65.4715
11,2012,11/1/2012,1.34,2.1274,50.9762,53.1036,28.3651,3.195,314.4582,34.8912,349.3494,35.069,2.86,245.2,75.7,320.9,54.1,35.295,3530,268.5,3798.5,85.5,6.95,741.825,96.2501,838.0751,88.8867,0.0079,,,,,6.5,676.809,1353.7257,2030.5347,40.8807,74.3333,7898.436,1227.744,9126.18,709.506,81.5,10037.1285,1766.8665,11803.995,1550.6505,13.28,1.8114,1422.1164,1423.9278,167.8834,2.4,23.5872,182.8008,206.388,36.288,0.0156,1.2383,0.0113,1.2496,0.1946,0.67,53.1846,0.4837,53.6683,8.3576,1.63,252.6174,1.1091,253.7265,17.2519,1.247,0.1885,108.5697,108.7583,21.2115,14.2,0.2684,414.3787,414.6471,69.7788,4.39,3.6313,208.9637,212.5949,2.649,20.47,7.7487,2130,2137.7487,348.9268,6.95,6.9817,4.4664,11.4481,101.1339,2.63,250.2,124.2675,374.4675,34.7949,0.67,1.013,23.305,24.318,8.3576,1.1,153.846,28.6902,182.5362,8.7318,53.8,7009.0461,569.956,7579.0021,131.1887,96,433.4867,4393.0233,4826.51,190.3467,9.645,1183.9905,191.6025,1375.593,136.7358,1.63,49.2912,122.4886,171.7798,27.7263,2.039,49.3275,158.2333,207.5608,38.5371,13.285,2384.1405,44.2337,2428.3742,145.5829,0,0,0,0,0,8.295,870.2883,150.5272,1020.8155,121.0999,11.89,719.1129,718.3366,1437.4495,263.3205,0.295,1.0036,10.3214,11.325,3.1223,12.6133,460.9307,351.6102,812.5409,163.9046,9.27,824.1345,146.5113,970.6458,49.0464
12,2012,12/1/2012,2.58,3.1208,97.5435,100.6643,33.1582,2.47,130.7124,55.0859,185.7983,23.3415,4,298.5,63.6,362.1,98.3,51.09,3854.6667,356.6667,4211.3333,158.6667,20.65,471.1581,257.9226,729.0807,84.8875,0.0103,,,,,8.6,871.668,990.9585,1862.6265,43.2306,67.5,6549.795,1151.577,7701.372,621.243,86,5711.391,1689.66,7401.051,853.713,21.8133,2.7398,1416.6963,1419.4361,206.3326,2.9,43.848,187.9983,231.8463,35.0784,0.0199,0.0218,3.1597,3.1815,0.2633,1.16,48.2328,6.5772,54.81,6.1387,1.95,272.727,0.855,273.582,16.2162,3.011,24.3376,174.0263,198.3639,19.4534,16.6,205.186,368.6445,573.8305,84.3961,5.205,2.1591,179.0697,181.2288,13.5502,23.56,23.9427,2072,2095.9427,274.892,8.15,6.1576,74.3537,80.5114,63.1827,2.73,86.2,100.0982,186.2982,16.511,1.17,0.8845,61.9164,62.8009,10.172,1.4,194.7456,34.3451,229.0907,12.1716,60.15,6938.8213,663.2031,7602.0243,22.7367,106.5,523.345,5494.45,6017.795,645.85,17,1157.5872,370.5458,1528.133,134.1144,3.515,32.7272,102.7915,135.5187,22.028,2.834,37.4938,186.9335,224.4273,36.4226,15.985,2255.8851,80.0092,2335.8943,240.2237,7.8,6.1916,88.4992,94.6908,38.3292,11.96,994.5936,149.4869,1144.0805,101.1093,12.645,724.2059,600.33,1324.5358,225.8361,0.437,0.2973,12.0338,12.3311,2.1639,19.0067,391.2436,473.9751,865.2187,102.5892,16.02,469.5686,497.2674,966.836,92.576
1,2013,1/1/2013,1.7,0.6426,64.5556,65.1982,24.4188,2.52,171.4608,31.3392,202.8,20.0038,3.35,392.6,101.3,493.9,69.6,43.2025,3665.6667,569.3333,4235,131,8.7,659.61,89.3101,748.9201,71.1018,0.0093,0.0636,,,,7.05,694.197,966.5762,1660.7732,27.1669,72.85,7903.5642,1459.1178,9362.682,605.8206,59,8291.052,1367.415,9658.467,828.954,16.748,1.8992,1216.2521,1218.1514,177.4758,3.4,17.9928,207.1742,225.167,33.4152,0.0138,1.0954,0.0282,1.1236,0.1304,0.51,0.9061,79.0591,79.9651,10.0246,1.7,282.744,0.9446,283.6886,16.7076,1.367,0.9818,139.5625,140.5443,16.0185,14.6767,250.0698,219.6383,469.7081,55.7629,5.34,2.302,200.2605,202.5625,23.6968,20.385,9.8799,2029,2038.8799,282.9851,7.955,7.2281,79.7312,86.9593,45.1049,2.68,203.4,28.3651,231.7651,28.3651,0.71,5.636,43.7459,49.3819,8.5882,1.2,202.3056,20.3666,222.6722,37.6488,61.1,7069.802,65.0386,7134.8406,69.9266,100.85,211.45,6058.5,6269.95,929.805,11.3,1043.658,234.8514,1278.5094,113.7969,2.82,117.2556,21.5324,138.788,33.0448,2.78,74.6096,205.2291,279.8387,39.9319,14.05,1724.436,33.3661,1757.8021,129.6351,3,3.6288,124.7604,128.3892,37.422,9.24,657.8712,283.912,941.7832,113.967,15.3767,968.305,684.8789,1653.1839,252.218,0.391,0.6021,10.5137,11.1158,1.4397,10.485,538.9278,223.5573,762.4852,118.0154,9.545,607.3326,181.9592,789.2918,63.4076
2,2013,2/1/2013,1.539,1.3962,53.1887,54.5849,24.4332,2.15,146.286,51.2001,197.4861,39.0096,3.26,262.5,101.4,363.9,41.4,39.9725,3879.3333,340,4219.3333,139.3333,6.75,690.606,90.1643,780.7703,64.8081,0.0085,,,,,6.7333,759.654,1083.9389,1843.5929,29.7486,70.65,7490.8827,1388.2995,8879.1822,601.0767,54.5,7640.703,1115.4591,8756.1621,890.946,14.117,1.6025,987.414,989.0164,170.9732,2.8,9.2081,307.2641,316.4722,43.3944,0.0129,1.5116,0.1907,1.7023,0.1999,0.46,55.6416,9.9112,65.5528,6.4336,1.42,236.1744,0.8964,237.0708,16.1028,1.194,2.3018,135.4177,137.7194,17.6019,5.9933,0.1133,230.8082,230.9215,21.4736,4.79,27.34,230.6201,257.9601,36.0007,19.07,15.2906,2275,2290.2906,281.5827,6.865,4.6492,39.746,44.3952,38.6845,2.5,113.4,122.85,236.25,23.625,0.61,12.6819,40.1209,52.8028,8.762,1.1,229.9374,28.607,258.5444,12.8898,73.775,8683.2468,810.0975,9493.3443,109.5397,100.75,247.31,5040.06,5287.37,564.6,10.5,1107.351,362.3886,1469.7396,132.2622,0,0,0,0,0,2.5755,49.4543,231.0347,280.4891,46.2595,12.85,1944.5567,19.4306,1963.9873,148.9068,2.88,4.2457,3.6731,7.9188,41.3683,9.21,636.9489,233.1835,870.1324,144.4291,10.0667,335.9258,720.3827,1056.3086,155.2925,0.33,0.3867,13.684,14.0707,2.4823,9.475,491.9817,316.7079,808.6896,120.0282,8.8133,686.259,169.4658,855.7248,57.4169
3,2013,3/1/2013,1.585,1.4978,58.9604,60.4582,26.3617,2.1,194.5566,34.2933,228.8499,21.8068,3.0433,350.2333,64.0333,414.2667,132.3333,37.55,3723,170,3893,136.5,6.45,572.859,165.0726,737.9316,87.7338,0.0078,,,,,6.35,696.654,581.7798,1278.4338,28.7393,67.55,7727.265,1211.868,8939.133,613.3806,61.5,8803.431,1237.761,10041.192,1099.602,12.244,1.9544,941.3262,943.2806,179.4699,2.5,22.68,265.3088,287.9888,43.47,0.0132,0.0349,2.5088,2.5437,0.3094,0.47,39.0852,14.4438,53.529,11.5479,1.5433,253.4112,5.4601,258.8713,15.6114,1.224,0.8791,129.5898,130.4689,18.9696,9.095,73.6473,313.6189,387.2661,38.8902,5.385,40.9881,255.2887,296.2768,51.0678,18.61,9.158,2146,2155.158,306.4546,9.2367,10.5138,63.4611,73.9749,49.1072,2.46,176.6772,171.0979,347.7751,32.5458,0.6,7.0308,37.8756,44.9064,9.9792,1.2,435.456,20.2306,455.6866,8.1648,63.8333,7049.9482,506.2859,7556.2341,134.0048,97.3333,332.2867,5557.11,5889.3967,604.5467,10.4,1230.4089,127.3164,1357.7253,125.1369,1.46,50.0151,98.2857,148.3007,25.5566,2.3775,60.0009,215.7475,275.7484,51.3891,12.95,1781.514,14.5757,1796.0897,156.2274,2.32,1.8416,1.5496,3.3912,35.0784,9.075,793.3464,526.9226,1320.269,147.3179,11.3,86.3012,983.4449,1069.746,167.3406,0.287,0.8724,7.04,7.9124,1.1807,9.505,368.0699,379.1557,747.2257,134.9347,7.3967,630.5544,116.16,746.7144,47.2525
4,2013,4/1/2013,1.693,2.0479,45.6543,47.7022,19.1986,1.79,121.7916,26.9295,148.7211,10.8259,3.155,363.15,29.3,392.45,142.1,39.8967,3743.5,344,4087.5,216,6.65,586.467,180.185,766.652,87.7527,0.0068,,,,,9.2,1221.318,436.6943,1658.0123,40.2003,60.55,6690.5811,1237.383,7927.9641,469.0092,56,8114.715,1094.058,9208.773,793.926,15.437,1.463,1313.9544,1315.4174,220.9308,2.45,11.1132,269.7729,280.8861,44.4528,0.013,0.0216,1.6721,1.6937,0.3391,0.501,35.9818,27.6492,63.631,8.7114,1.61,152.145,8.228,160.373,6.0858,1.1225,1.3385,133.3338,134.6723,17.7887,0,0,0,0,0,4.64,1.8535,231.2148,233.0683,40.8599,21.2,10.4326,2487,2497.4326,345.0771,4.908,3.1053,2.6823,5.7876,32.9238,2.45,138.915,101.871,240.786,31.4874,0.6,4.3092,36.6962,41.0054,8.8452,1.24,234.36,17.5301,251.8901,3.1873,55.8667,6327.342,599.794,6927.136,100.4825,86.85,312.645,4148.38,4461.025,261.475,10.6,1318.275,104.0729,1422.3479,137.9341,1.362,37.0682,87.3677,124.4359,20.5934,2.063,25.7339,159.472,185.2058,38.9907,13.42,1952.0487,80.9907,2033.0394,169.5198,3.09,2.4528,116.8476,119.3004,45.5528,9.04,392.9386,348.8902,741.8288,308.2118,10.59,28.8127,843.6864,872.499,94.2808,0.299,0.5086,12.394,12.9026,0.113,9.3,318.3772,560.6133,878.9905,121.0999,7.22,635.3991,46.9834,682.3825,38.4611
5,2013,5/1/2013,1.2,,,,,2.05,178.227,42.542,220.769,24.7968,2.868,323.3,54.7,378,119.4,36.1333,3597.5,191,3788.5,156,5.3,691.74,65.205,756.945,86.1462,0.0056,0.6505,,,,7.3,850.122,1143.2875,1993.4095,27.6129,58.45,6341.0823,1215.3456,7556.4279,430.8482,50.5,6800.598,996.3891,7796.9871,832.356,11.31,0.855,1353.6206,1354.4756,197.6585,0,0,0,0,0,0.015,0.0198,2.7784,2.7983,0.3459,0.493,27.9531,17.89,45.8431,6.7087,1.58,256.8132,3.7208,260.534,14.931,1.159,1.4019,105.2146,106.6165,11.3907,0,0,0,0,0,4.03,1.5233,198.1411,199.6644,5.3173,24.065,11.8424,2737,2748.8424,400.8209,0,0,0,0,0,2.47,224.0784,133.5134,357.5918,32.6781,0.58,0.5481,26.3746,26.9227,10.5235,1.17,248.1079,30.1179,278.2258,37.5921,52.3,7497.6829,812.5979,8310.2809,19.7694,87.15,446.325,4241.995,4688.32,142.945,10.4,1483.8201,4.4467,1488.2668,127.5089,1.265,66.9438,79.3762,146.32,22.9522,1.925,29.106,170.1973,199.3033,34.9272,12.01,1702.89,171.3958,1874.2858,197.471,0,0,0,0,0,8.275,765.828,139.2042,905.0322,162.4039,7.035,37.8966,439.1392,477.0358,154.2977,0.272,0.802,3.5944,4.3964,0.1028,8.795,276.2615,335.6831,611.9446,119.6616,6.155,651.5019,3.2586,654.7605,73.3698
6,2013,6/1/2013,1.2,,,,,1.54,81.4968,38.4199,119.9167,17.4636,2.804,316.1,112.3,428.4,97.5,34.384,3383,219.5,3602.5,135,5.7,861.84,61.6216,923.4616,95.8797,0.0041,0.1838,,,,7.9,948.213,995.3534,1943.5664,39.4254,54.45,6399.2565,719.3718,7118.6283,459.0489,50.5,8635.032,1045.0188,9680.0508,682.668,9.1455,0.6914,1193.9158,1194.6072,167.769,0,0,0,0,0,0.014,0.037,2.1962,2.2332,0.3228,0.537,36.5375,11.1642,47.7017,8.5254,1.28,193.536,1.5483,195.0843,14.5152,1.116,2.3202,80.2313,82.5514,17.7176,0,0,0,0,0,0,0,0,0,0,23.885,11.7539,2848,2859.7539,411.4522,0,0,0,0,0,2.48,234.36,146.2406,380.6006,43.1222,0.57,0.7326,25.9198,26.6524,8.1875,0.95,302.3622,23.3774,325.7396,9.3366,52.55,7563.0618,549.7479,8112.8097,19.8639,87.45,231.96,4068.07,4300.03,148.58,10.1,1655.9613,6.8457,1662.807,127.0987,1.211,64.0861,80.1077,144.1938,24.7189,1.977,112.0959,168.7417,280.8376,48.5749,12.12,1494.1017,158.887,1652.9887,194.6341,0,0,0,0,0,8.43,796.635,123.6632,920.2982,145.0084,9.245,5.505,476.7521,482.2571,219.6785,0.314,1.4006,10.528,11.9285,3.0385,8.63,498.9543,338.3153,837.2696,125.5981,7.765,757.6443,15.305,772.9493,41.7218
