POTW,sub_name
American Canyon,San Pablo Bay
Benicia,San Pablo Bay
Burlingame,South Bay
CCCSD,Suisun Bay
CMSA,Central Bay
Port Costa,San Pablo Bay
Delta Diablo,Suisun Bay
EBDA,South Bay
EBMUD,Central Bay
Fairfield-Suisun,Suisun Bay
Las Gallinas,San Pablo Bay
Paradise Cove,Central Bay
Tiburon,Central Bay
Millbrae,South Bay
Mt View,Suisun Bay
Napa,San Pablo Bay
Novato,San Pablo Bay
Palo Alto,Lower South Bay
Petaluma,San Pablo Bay
Pinole,San Pablo Bay
Rodeo,San Pablo Bay
SFO Airport,South Bay
SFPUC Southeast Plant,South Bay
San Jose,Lower South Bay
San Mateo,South Bay
SMCSD,Central Bay
SASM,Central Bay
SVCW,South Bay
Sonoma Valley,San Pablo Bay
South SF,South Bay
Sunnyvale,Lower South Bay
Treasure Island,Central Bay
Vallejo,San Pablo Bay
West County,Central Bay
